Place	Bib	Name	Time	State	Country	Citizenship
1	14	Gebre Gebrmariam	02:08:14		Ethiopia	ETH
2	6	Emmanuel Mutai	02:09:18		Kenya	KEN
3	21	Moses Kigen Kipkosgei	02:10:39		Kenya	KEN
4	8	Abderrahim Goumri	02:10:51		Morocco	MAR
5	3	James Kwambai	02:11:31		Kenya	KEN
6	1	Meb Keflezighi	02:11:38	CA	United States	USA
7	10	Marilson Gomes Dos Santos	02:11:51		Brazil	BRA
8	12	Dathan Ritzenhein	02:12:33	OR	United States	USA
9	4	Abel Kirui	02:13:01		Kenya	KEN
10	5	Abderrahime Bouramdane	02:14:07		Morocco	MAR
11	7	Jorge Torres	02:14:57	CO	United States	USA
12	16	Peter Kamais	02:14:58		Kenya	KEN
13	18	Tim Nelson	02:15:06	OR	United States	USA
14	224	Abdelkabir Saji	02:16:35		Italy	MAR
15	226	Dereje Hailegiorgis	02:19:10	NY	United States	ETH
16	30	Teklu Tefera Deneke	02:19:23	NY	United States	ETH
17	31	Matt Downin	02:20:41	MN	United States	USA
18	25	Fikadu Lemma	02:20:47	NY	United States	ETH
19	200	Bado Worku Merdessa	02:22:17	NY	United States	ETH
20	33	Filippo Lo Piccolo	02:23:10		Italy	ITA
21	32	Odilon Cuahutle Rojas	02:24:03		Mexico	MEX
22	238	Michael Cassidy	02:24:05	NY	United States	USA
23	234	Emil Lerdahl	02:24:53		Sweden	SWE
24	202	Christopher Spooner	02:25:21	NY	United States	USA
25	235	Miguel Beltran Mendez	02:26:29		Spain	ESP
26	209	Girma Segni	02:26:39	NY	United States	ETH
27	1922	Wilson Komen	02:26:47	DC	United States	KEN
28	206	Eric Loeffler	02:26:47	ND	United States	USA
29	232	Hermann Achmueller	02:26:52		Italy	ITA
30	1064	Adil Lyazali	02:27:09	NY	United States	ITA
31	1152	Francisco Roman Fernandez	02:27:10		Spain	ESP
32	1021	Francesco Duca	02:27:48	NY	United States	ITA
33	28	Christopher Pannone	02:28:10	NJ	United States	USA
34	41	Simon Vroemen	02:28:17		Netherlands	NED
35	245	Enrico Vivian	02:28:22		Italy	ITA
36	43	Anders Szalkai	02:28:32		Sweden	SWE
37	208	Peter Mullen	02:28:47	NY	United States	USA
38	203	Mark Olivier	02:28:55	CT	United States	USA
39	205	Brian Grudowski	02:29:20	IL	United States	USA
40	1921	Kieran O'connor	02:29:30	NY	United States	USA
41	237	Harrison Lakehomer	02:29:38	NY	United States	USA
42	1068	Alessandro Rambaldini	02:30:00		Italy	ITA
43	229	Antonio Santi	02:30:01		Italy	ITA
44	522	Peter Bartlett	02:30:05	NY	United States	USA
45	1066	Piacenza Enzo	02:30:40		Italy	ITA
46	1172	Greg Wieczorek	02:30:43		Canada	CAN
47	1543	Albert J Donawa	02:30:44		Bermuda	BER
48	35	Nick Neely	02:30:46	CA	United States	USA
49	250	Francisco Javier Rodriguez Tovar	02:30:53		Spain	ESP
50	239	Daniel Nally	02:31:06	MA	United States	USA
51	40	Fabian Roncero	02:31:12		Spain	ESP
52	242	Stephen Donahue	02:31:18	CA	United States	USA
53	1095	Antonio Blanco Gutierrez	02:31:47		Spain	ESP
54	1083	Scott Barnacle	02:31:50	IN	United States	USA
55	1038	Stephane Vautier	02:31:56		France	FRA
56	521	Sebastien Baret	02:32:07	NY	United States	FRA
57	221	John Roberts	02:32:07	NY	United States	USA
58	216	Brian Lang	02:32:37	NJ	United States	USA
59	240	Cedric De Caluwe	02:32:47		Belgium	BEL
60	231	Oskar De Kuijer	02:32:52		Netherlands	NED
61	217	Michael Capriolo	02:32:54	OH	United States	USA
62	233	Tito Fiorenzo Tiberti	02:33:02		Italy	ITA
63	2757	John Morrissey	02:33:03		Great Britain	GBR
64	1119	Mathieu Dube	02:33:06		Canada	CAN
65	1298	Oscar Martin Perez	02:33:08		Spain	ESP
66	204	Justin Scheid	02:33:30	NJ	United States	USA
67	1356	Dirk Muench	02:33:44	NY	United States	GER
68	1934	Justin Chaston	02:33:48	CO	United States	GBR
69	1105	Justin Park	02:33:51	UT	United States	USA
70	220	Keith Forlenza	02:33:57	NY	United States	USA
71	1365	Pietro Cabassi	02:34:04		Italy	ITA
72	1072	Karl O'reilly	02:34:16	NJ	United States	IRL
73	299	Vincent Rousseau	02:34:22		France	FRA
74	1029	Josep Sansa Bullich	02:34:36		Andorra	AND
75	1184	Kip Hoffman	02:34:46	PA	United States	USA
76	214	Piergiorgio Conti	02:34:52		Italy	ITA
77	1327	Clay Wing	02:34:55	WA	United States	USA
78	2349	Michele Bertoletti	02:34:59		Italy	ITA
79	1926	Santos Pirir Curup	02:35:08		Guatemala	GUA
80	6197	Martin Fiz Martin	02:35:19		Spain	ESP
81	1213	Vladimir Figari	02:35:23		Peru	PER
82	247	Tom Dichiara	02:35:52	NY	United States	USA
83	1122	Pierre Senac	02:36:04		France	FRA
84	243	Carlos Martins	02:36:22	NJ	United States	USA
85	246	Brad Chvatal	02:36:27	OR	United States	USA
86	1050	Peter Loveridge	02:36:29		Australia	AUS
87	1941	Xaviour Walker	02:36:31	MA	United States	NZL
88	1150	Antonio Filippo Salaris	02:36:43		Italy	ITA
89	1091	Modesto Ricardo Alvarez Dominguez	02:36:55		Spain	ESP
90	1047	Frederic Boivineau	02:36:56		France	FRA
91	1200	Raul Merino	02:37:03	CA	United States	USA
92	1008	Juan Antonio Ruiz Navarro	02:37:05		Spain	ESP
93	2629	Thomas Trealout	02:37:12	FL	United States	CAN
94	1195	Paolo Bravi	02:37:14		Italy	ITA
95	1100	Nathan Senner	02:37:24	NY	United States	USA
96	1088	Tomas Padua Vega	02:37:43		Spain	ESP
97	1609	Antonio Labate	02:38:04		Italy	ITA
98	698	Joel Martinez-Delon	02:38:09	NY	United States	
99	770	Markus Randler	02:38:55	NY	United States	GER
100	1231	Donato Donati	02:39:04		Italy	ITA
