DayOfYear	Month	Day	MaxTemperature	NYRS1	MinTemperature	NYRS2	Precipitation	NYRS3	SDMax	SDMin
1	1	1	44.6	30.0	35.1	30.0	0.162	30.0	6.395	7.208
2	1	2	44.7	30.0	35.2	30.0	0.164	30.0	6.362	7.148
3	1	3	44.9	30.0	35.3	30.0	0.164	30.0	6.261	7.063
4	1	4	45.0	30.0	35.4	30.0	0.166	30.0	6.173	6.995
5	1	5	45.1	30.0	35.4	30.0	0.166	30.0	6.046	6.911
6	1	6	45.2	30.0	35.5	30.0	0.169	30.0	5.973	6.823
7	1	7	45.3	30.0	35.6	30.0	0.171	30.0	5.910	6.714
8	1	8	45.4	30.0	35.6	30.0	0.173	30.0	5.881	6.669
9	1	9	45.4	30.0	35.7	30.0	0.172	30.0	5.870	6.650
10	1	10	45.5	30.0	35.8	30.0	0.168	30.0	5.820	6.589
11	1	11	45.6	30.0	35.8	30.0	0.167	30.0	5.815	6.558
12	1	12	45.6	30.0	35.9	30.0	0.168	30.0	5.837	6.567
13	1	13	45.7	30.0	35.9	30.0	0.162	30.0	5.837	6.591
14	1	14	45.7	30.0	35.9	30.0	0.163	30.0	5.859	6.612
15	1	15	45.8	30.0	36.0	30.0	0.163	30.0	5.886	6.635
16	1	16	45.9	30.0	36.0	30.0	0.165	30.0	5.931	6.698
17	1	17	46.0	30.0	36.0	30.0	0.167	30.0	5.999	6.736
18	1	18	46.1	30.0	36.1	30.0	0.169	30.0	6.022	6.790
19	1	19	46.1	30.0	36.1	30.0	0.168	30.0	6.063	6.842
20	1	20	46.3	30.0	36.1	30.0	0.165	30.0	6.127	6.852
21	1	21	46.5	30.0	36.2	30.0	0.165	30.0	6.158	6.860
22	1	22	46.7	30.0	36.2	30.0	0.161	30.0	6.172	6.837
23	1	23	46.8	30.0	36.3	30.0	0.160	30.0	6.204	6.848
24	1	24	47.0	30.0	36.3	30.0	0.157	30.0	6.205	6.799
25	1	25	47.1	30.0	36.3	30.0	0.158	30.0	6.224	6.777
26	1	26	47.2	30.0	36.3	30.0	0.158	30.0	6.163	6.758
27	1	27	47.3	30.0	36.4	30.0	0.154	30.0	6.163	6.768
28	1	28	47.4	30.0	36.4	30.0	0.153	30.0	6.156	6.744
29	1	29	47.5	30.0	36.4	30.0	0.149	30.0	6.160	6.719
30	1	30	47.6	30.0	36.4	30.0	0.148	30.0	6.199	6.686
31	1	31	47.6	30.0	36.4	30.0	0.148	30.0	6.281	6.761
32	2	1	47.6	30.0	36.4	30.0	0.150	30.0	6.346	6.763
33	2	2	47.7	30.0	36.4	30.0	0.147	30.0	6.324	6.701
34	2	3	47.7	30.0	36.5	30.0	0.149	30.0	6.328	6.718
35	2	4	47.7	30.0	36.5	30.0	0.151	30.0	6.317	6.737
36	2	5	47.8	30.0	36.6	30.0	0.155	30.0	6.351	6.787
37	2	6	48.0	30.0	36.6	30.0	0.153	30.0	6.340	6.805
38	2	7	48.1	30.0	36.6	30.0	0.149	30.0	6.377	6.773
39	2	8	48.2	30.0	36.7	30.0	0.147	30.0	6.339	6.708
40	2	9	48.4	30.0	36.7	30.0	0.147	30.0	6.298	6.679
41	2	10	48.6	30.0	36.8	30.0	0.148	30.0	6.221	6.608
42	2	11	48.8	30.0	36.9	30.0	0.148	30.0	6.169	6.511
43	2	12	48.9	30.0	37.0	30.0	0.147	30.0	6.149	6.396
44	2	13	49.1	30.0	37.0	30.0	0.150	30.0	6.137	6.290
45	2	14	49.3	30.0	37.1	30.0	0.151	30.0	6.143	6.172
46	2	15	49.5	30.0	37.3	30.0	0.147	30.0	6.091	6.153
47	2	16	49.6	30.0	37.3	30.0	0.147	30.0	6.074	6.074
48	2	17	49.8	30.0	37.4	30.0	0.149	30.0	6.038	5.976
49	2	18	49.8	30.0	37.5	30.0	0.154	30.0	5.941	5.928
